path	size_kib	head	dirty_entries	disposition
Work/pcapplusplus-third-problem-audit/final-exact	140500	8ac4366c4184f096973ef4a0ca084559935828d0	8	SNAP recovery patch preserved
Work/pcapplusplus-third-problem-audit/probe-complete	140468	8ac4366c4184f096973ef4a0ca084559935828d0	5	SNAP recovery patch preserved
Work/pcapplusplus-third-problem-audit/probe-minimal	140468	8ac4366c4184f096973ef4a0ca084559935828d0	5	SNAP recovery patch preserved
Work/pcapplusplus-third-problem-audit/test-author	140500	8ac4366c4184f096973ef4a0ca084559935828d0	10	SNAP recovery patch preserved
Work/pcapplusplus-third-problem-audit/test-only	140492	8ac4366c4184f096973ef4a0ca084559935828d0	3	SNAP recovery patch preserved
