kind	identifier	immutable_id	size_bytes	container_references	disposition
container	pdfminer task match	-	-	0	none existed
image	olympus-pdfminer-phase-a:a18de2a9-v4	sha256:7f10c5f10d2057069abc1763c501b71f2f3d625653d1fe4445640248ef2aa3d1	656945892	0	removed tag and unshared image
image	olympus-pdfminer-phase-a:a18de2a9-v3	sha256:fbd28ef7efaaebc639e1cab6d03036c1317ae87680adb6e5ab66d600e8e8c215	633398715	0	removed tag and unshared image
image	public.ecr.aws/d3j8x8q7/olympus-base-python:latest	sha256:6ddc78fc675e6cd3a63b60fc63d87eea35a479f503a44a89cf92923abe905dd8	-	-	skip shared base
